states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Missouri,Independence,117433,4.3,36.6,108.1,308.3,"1,067","4,356.5",666.8,457.3,"6,090.3"
California,Inglewood,111488,12.6,24.2,334.6,328.3,579.4,"1,245.9",572.3,699.6,"2,397.6"
California,Irvine,217528,0.9,3.7,13.3,32.6,262,"1,194.8",62.1,50.6,"1,518.9"
Texas,Irving,224007,1.3,12.1,60.3,152.7,570.1,"1,993.7",251.8,226.3,"2,815.5"
Mississippi,Jackson,175939,35.8,76.7,454.1,381.4,"2,344","3,585.3",645.7,948.1,"6,575"
Illinois,Joliet,148471,7.4,20.2,70.0,243.1,642.5,"1,834",106.4,340.8,"2,583"
Kansas,Kansas City,147201,10.2,57.7,188.2,339.7,"1,203.8","3,096.4",820.6,595.8,"5,120.9"
Washington,Kent,122102,1.6,55.7,158.9,228.5,"1,014.7","2,755.9",707.6,444.7,"4,478.2"
Texas,Killeen,131965,9.1,62.1,178.8,394.8,"1,135.1","2,497.6",145.5,644.9,"3,778.3"
Tennessee,Knoxville,182254,9.9,65.3,289.7,608.5,"1,581.3","4,594.1",501.5,973.4,"6,676.9"
Louisiana,Lafayette,122852,9.0,9.0,164.4,451.8,"1,082.6","4,268.6",196.2,634.1,"5,547.3"
Colorado,Lakewood,146404,1.4,64.2,101.1,295.1,626.3,"3,538.2",415.3,461.7,"4,579.8"
California,Lancaster,159155,5.0,33.9,196.7,304.1,655.3,"1,288.7",253.8,539.7,"2,197.9"
Michigan,Lansing,114688,11.3,80.2,177.0,671.4,"1,139.6","1,920.9",230.2,939.9,"3,290.7"
Texas,Laredo,245558,3.3,33.0,74.5,311.1,699.6,"3,496.5",155.2,421.9,"4,351.3"
Arkansas,Little Rock,196055,23.0,69.9,411.6,811,"2,164.7","5,337.8",558.5,"1,315.4","8,061"
Massachusetts,Lowell,108539,0.0,34.1,160.3,344.6,782.2,"1,825.2",271.8,539,"2,879.1"
Texas,Lubbock,237241,4.6,43.8,137.0,641.5,"1,306.3","3,552.9",314,827,"5,173.2"
Wisconsin,Madison,237508,1.3,48.0,101.5,226.9,674.1,"2,483.3",106.9,377.7,"3,264.3"
New Hampshire,Manchester,110040,0.9,65.4,186.3,314.4,771.5,"2,588.1",137.2,567.1,"3,496.9"
Texas,McAllen,135745,0.7,2.2,41.3,78.1,370.5,"3,499.9",155.4,122.3,"4,025.9"
Texas,McKinney,138105,0.0,39.1,42.0,84.7,356.3,"1,585.7",75.3,165.8,"2,017.3"
Texas,Mesquite,144811,1.4,9.7,126.4,167.8,"1,082.8","2,782.9",474.4,305.2,"4,340.1"
Florida,Miami Gardens,111177,22.5,14.4,331.9,468.6,"1,160.3","2,771.3",371.5,837.4,"4,303"
Texas,Midland,115637,3.5,18.2,45.0,277.6,483.4,"2,000.2",117.6,344.2,"2,601.2"
Florida,Miramar,125998,1.6,24.6,129.4,270.6,684.1,"1,508.8",175.4,426.2,"2,368.3"
California,Modesto,204631,9.8,28.8,219.9,518.5,"1,256.4","3,374.9",879.1,777,"5,510.4"
Alabama,Montgomery,209018,21.1,19.6,219.6,135.4,"1,631","3,611.2",526.7,395.7,"5,768.9"
California,Moreno Valley,199673,2.5,12.5,165.8,172.8,"1,010.7","1,730.8",449.2,353.6,"3,190.7"
Tennessee,Murfreesboro,112247,2.7,49.0,119.4,453.5,822.3,"2,582.7",163.9,624.5,"3,568.9"
California,Murrieta,106839,0.9,7.5,19.7,37.4,381.9,"1,101.7",121.7,65.5,"1,605.2"
Illinois,Naperville,142840,2.1,4.9,16.8,59.5,178.5,"1,223.7",28.7,83.3,"1,431"
Connecticut,New Haven,129934,13.1,42.3,649.6,734.2,"1,116.7","3,348.6",549.5,"1,439.2","5,014.9"
Virginia,Newport News,181591,11.0,27.5,149.2,227.4,566.7,"2,440.1",144.3,415.2,"3,151"
Virginia,Norfolk,245303,13.9,30.6,200.2,298.4,921.7,"3,425.6",296.4,543,"4,643.6"
Oklahoma,Norman,113969,0.9,45.6,47.4,57.9,551.9,"1,976",148.3,151.8,"2,676.2"
South Carolina,North Charleston,100675,12.9,60.6,210.6,448,848.3,"4,333.7",536.4,732.1,"5,718.4"
Nevada,North Las Vegas,221884,6.3,32.9,175.3,549.4,701.7,"1,362",430.4,763.9,"2,494.1"
California,Norwalk,107295,10.3,12.1,159.4,221.8,502.4,"1,432.5",496.8,403.6,"2,431.6"
California,Oceanside,171141,4.7,28.0,102.3,290.4,491.4,"1,754.7",260,425.4,"2,506.1"
Texas,Odessa,103635,4.8,41.5,136.1,881.9,743,"2,475",368.6,"1,064.3","3,586.6"
Kansas,Olathe,128560,0.0,29.6,18.7,100.3,245,"1,546.4",137.7,148.6,"1,929.1"
California,Ontario,167933,1.8,21.4,158.4,136.4,630,"1,797.7",583,318,"3,010.7"
California,Orange,139692,2.9,5.7,38.7,49.4,357.9,"1,463.2",206.9,96.6,"2,028"
Florida,Orlando,246513,9.7,41.8,244.6,721.3,"1,532.6","4,552.3",529,"1,017.4","6,613.8"
Kansas,Overland Park,177085,1.1,22.6,23.7,113.5,292,"1,828.5",183,160.9,"2,303.4"
California,Oxnard,201797,4.5,4.0,150.6,139.7,420.2,"1,326.6",270.6,298.8,"2,017.4"
Florida,Palm Bay,104635,2.9,18.2,74.5,432.9,687.2,"1,530.1",130.9,528.5,"2,348.2"
California,Palmdale,155294,3.9,23.8,144.2,350.9,666.5,"1,331.7",186.7,522.9,"2,184.9"
California,Pasadena,139382,3.6,15.1,123.4,168.6,639.3,"1,605.7",179.4,310.7,"2,424.3"
Texas,Pasadena,154562,5.2,33.6,95.1,268.5,646.3,"2,644.2",339,402.4,"3,629.6"
New Jersey,Paterson,147148,14.3,15.0,580.4,445.1,"1,100.3","1,436.6",616.4,"1,054.7","3,153.3"
Florida,Pembroke Pines,159744,1.3,8.8,52.0,87,529.6,"1,987.6",135.8,149,"2,653"
